0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.732149831868691134e-02 1.732149864685147977e-02 1.729555696993911179e-02
3.464448972926643944e-02 3.464449030667839796e-02 3.454224102811037644e-02
5.196756686199131836e-02 5.196756764217713709e-02 5.174040424445889436e-02
6.928849530526298706e-02 6.928849625462912831e-02 6.888873755742860872e-02
8.660429320106956264e-02 8.660429435712757584e-02 8.598587700046016191e-02
1.039113064925573926e-01 1.039113081322967924e-01 1.030302840485963073e-01
1.212052817008596045e-01 1.212052846968708492e-01 1.200203019697965723e-01
1.384814359169129205e-01 1.384814423467301547e-01 1.369541951857376205e-01
1.557345241422670168e-01 1.557345381923221361e-01 1.538301893512204754e-01
1.729589039769365011e-01 1.729589331485359704e-01 1.706465090306737431e-01
1.901485976305728742e-01 1.901486542166138105e-01 1.874014122447806019e-01
2.072973511989732176e-01 2.072974539611299460e-01 2.040932211968330412e-01
2.243986911245243743e-01 2.243988670651153594e-01 2.207203487342322412e-01
2.414459777446647526e-01 2.414462638382707804e-01 2.372813202966928825e-01
2.584324558273847217e-01 2.584329005565680903e-01 2.537747912745473844e-01
2.753513019965289632e-01 2.753519665248615467e-01 2.701995598455153580e-01
2.921956689611070468e-01 2.921966277755079777e-01 2.865545754772641507e-01
3.089587264805348510e-01 3.089600673433003375e-01 3.028389433771374040e-01
3.256336990201476600e-01 3.256355220881084200e-01 3.190519252411683215e-01
3.422139000768555928e-01 3.422163160694819406e-01 3.351929367038912755e-01
3.586927631819570306e-01 3.586958905103228012e-01 3.512615419207660294e-01
3.750638696155401686e-01 3.750678304180910527e-01 3.672574457286484906e-01
3.913209728934528009e-01 3.913258879607108831e-01 3.831804838291665294e-01
4.074580201125888035e-01 4.074640027195560732e-01 3.990306114275504190e-01
4.234691702625398846e-01 4.234763189630874058e-01 4.148078907377993341e-01
4.393488096310252944e-01 4.393572001016331496e-01 4.305124777362464017e-01
4.550915644466624888e-01 4.551012404964226432e-01 4.461446085116356208e-01
4.706923109154782514e-01 4.707032748044618908e-01 4.617045855225350715e-01
4.861461828171174115e-01 4.861583850454799238e-01 4.771927640338360921e-01
5.014485768331340410e-01 5.014619055783730017e-01 4.926095389645417377e-01
5.165951557832794139e-01 5.166094261727864900e-01 5.079553323401124754e-01
5.315818499466191671e-01 5.315967933571874582e-01 5.232305815051740971e-01
5.464048566429409171e-01 5.464201102184750303e-01 5.384357282170677550e-01
5.610606382465885833e-01 5.610757348203201378e-01 5.535712087080167931e-01
5.755459187999159010e-01 5.755602773984445086e-01 5.686374447739321880e-01
5.898576793873091528e-01 5.898705964813321101e-01 5.836348359212684134e-01
6.039931524234898319e-01 6.040037940747429168e-01 5.985637525799641923e-01
6.179498150018379876e-01 6.179572100381548472e-01 6.134245303703416141e-01
6.317253814400215495e-01 6.317284157711223758e-01 6.282174653948202625e-01
6.453177951514763588e-01 6.453152073176902093e-01 6.429428105112832137e-01
