Wall time,Step,Value
1710360411.8559396,30720,0.24419346451759338
1710360759.1578424,61440,0.21107229590415955
1710361108.1185148,92160,0.1773609071969986
1710361460.7959807,122880,0.1320110261440277
1710361776.560797,153600,0.12754639983177185
1710362050.861128,184320,0.1580556035041809
1710362328.9307356,215040,0.13199007511138916
1710362601.011765,245760,0.1320851892232895
1710362874.637164,276480,0.12927839159965515
1710363150.357825,307200,0.12388121336698532
1710363415.8346214,337920,0.13836896419525146
1710363573.691815,368640,0.1393044888973236
1710363707.1623542,399360,0.12884901463985443
1710363814.3662906,430080,0.12562797963619232
1710363920.8780103,460800,0.10970895737409592
1710364031.3029664,491520,0.10144969820976257
1710364137.862134,522240,0.12650461494922638
1710364245.75607,552960,0.12760460376739502
1710364371.6922328,583680,0.11274481564760208
1710364484.8199131,614400,0.11079196631908417
1710364587.5836902,645120,0.11334330588579178
1710364693.2276025,675840,0.10940511524677277
1710364797.3987174,706560,0.09828996658325195
1710364908.9336107,737280,0.10236017405986786
1710365015.7558386,768000,0.10603974759578705
1710365118.1765358,798720,0.10724291950464249
1710365219.939796,829440,0.09383311867713928
1710365324.096082,860160,0.09899779409170151
1710365430.7283962,890880,0.08421739190816879
1710365535.062414,921600,0.10608727484941483
1710365656.0230799,952320,0.08093535155057907
1710365764.3175035,983040,0.0807323083281517
1710365876.4205494,1013760,0.09416027367115021
1710365997.266097,1044480,0.09482332319021225
1710366122.9528172,1075200,0.08087108284235
1710366226.2853103,1105920,0.0834478810429573
1710366328.9121428,1136640,0.0819365456700325
1710366433.1268232,1167360,0.08079709112644196
1710366568.5350146,1198080,0.08322962373495102
